sex,age,len_head,width_skull,len_earconch,width_eye,len_foot,len_tail,chest,belly,len_total
0,2.0,94.4,54.9,53.5,16.2,75.0,340.0,270.0,320.0,840.0
0,3.0,95.8,58.5,51.6,14.9,72.3,355.0,310.0,350.0,915.0
0,7.0,96.0,59.0,56.2,15.0,73.6,360.0,290.0,380.0,900.0
1,2.0,90.5,54.5,50.8,14.2,70.3,350.0,230.0,280.0,850.0
0,4.0,93.8,56.8,53.0,15.3,73.2,345.0,270.0,300.0,870.0
1,3.0,92.8,56.0,51.8,14.0,74.9,350.0,240.0,320.0,880.0
1,2.0,92.1,54.4,50.8,14.5,70.6,335.0,245.0,330.0,840.0
0,3.0,92.8,54.1,52.5,14.5,68.0,370.0,270.0,310.0,930.0
1,4.0,94.3,56.7,52.0,14.9,74.8,390.0,280.0,340.0,940.0
0,3.0,91.4,54.6,51.8,14.8,70.8,370.0,240.0,300.0,890.0
0,2.0,90.6,55.7,53.1,14.4,73.1,365.0,260.0,285.0,855.0
0,4.0,94.4,57.9,55.5,16.4,71.2,355.0,280.0,355.0,850.0
0,7.0,93.3,59.3,52.0,14.9,74.3,350.0,255.0,360.0,880.0
1,2.0,89.3,54.8,52.0,13.6,71.2,350.0,280.0,315.0,825.0
0,7.0,92.4,56.0,49.5,15.9,68.4,355.0,270.0,300.0,805.0
1,1.0,84.7,51.5,53.4,13.0,68.7,340.0,250.0,250.0,750.0
1,3.0,91.0,55.0,51.4,13.6,72.8,360.0,270.0,300.0,845.0
0,3.0,85.3,54.1,51.2,13.8,62.7,320.0,255.0,330.0,770.0
1,2.0,90.0,55.5,49.4,13.4,72.0,320.0,290.0,310.0,810.0
0,3.0,90.7,55.9,54.0,14.6,71.5,340.0,270.0,315.0,810.0
0,2.0,90.1,54.8,45.5,15.0,66.0,375.0,250.0,330.0,890.0
0,5.0,98.6,63.2,44.9,17.0,66.9,340.0,280.0,350.0,850.0
0,4.0,95.4,59.2,45.0,15.9,69.0,370.0,295.0,355.0,850.0
1,5.0,91.6,56.4,47.2,14.9,65.0,380.0,280.0,360.0,880.0
1,5.0,95.6,59.6,43.9,17.4,64.0,360.0,280.0,385.0,850.0
0,6.0,97.6,61.0,44.3,15.8,67.9,400.0,285.0,325.0,935.0
1,3.0,93.1,58.1,46.0,16.5,67.4,380.0,260.0,335.0,910.0
0,7.0,96.9,63.0,46.0,17.5,71.3,430.0,300.0,365.0,915.0
0,2.0,103.1,63.2,44.9,16.4,72.5,380.0,305.0,360.0,925.0
0,3.0,99.9,61.5,46.8,16.4,68.7,380.0,275.0,315.0,937.0
1,4.0,95.1,59.4,45.3,14.5,67.2,410.0,310.0,390.0,930.0
0,3.0,94.5,64.2,46.4,14.4,66.5,390.0,305.0,330.0,910.0
0,2.0,102.5,62.8,44.5,14.7,73.2,400.0,320.0,360.0,960.0
1,2.0,91.3,57.7,47.0,14.4,63.1,390.0,260.0,300.0,880.0
0,7.0,95.7,59.0,44.9,15.0,63.1,380.0,265.0,310.0,860.0
1,3.0,91.3,58.0,41.3,16.0,65.5,390.0,270.0,320.0,905.0
1,6.0,92.0,56.4,46.3,15.2,64.1,380.0,255.0,285.0,885.0
1,3.0,96.9,56.5,45.1,17.1,63.0,385.0,255.0,330.0,895.0
1,5.0,93.5,57.4,41.7,14.0,68.2,380.0,290.0,385.0,885.0
1,3.0,90.4,55.8,44.2,15.7,63.2,365.0,265.0,340.0,860.0
0,4.0,93.3,57.6,44.1,16.5,64.7,365.0,275.0,295.0,850.0
0,5.0,94.1,56.0,43.1,17.4,65.9,380.0,270.0,300.0,885.0
0,5.0,98.0,55.6,45.6,15.0,65.0,375.0,285.0,340.0,880.0
1,7.0,91.9,56.4,44.1,13.0,65.4,380.0,270.0,340.0,870.0
0,6.0,92.8,57.6,42.8,15.0,65.7,400.0,275.0,340.0,900.0
0,1.0,85.9,52.4,42.4,14.1,62.0,350.0,255.0,300.0,805.0
0,1.0,82.5,52.3,44.7,16.0,65.7,365.0,235.0,280.0,820.0
1,4.0,88.7,52.0,45.9,14.7,61.5,380.0,260.0,340.0,830.0
0,6.0,93.8,58.1,45.6,16.9,66.2,380.0,260.0,335.0,890.0
0,5.0,92.4,56.8,46.4,17.8,64.5,410.0,260.0,330.0,890.0
0,6.0,93.6,56.2,42.9,16.2,62.8,360.0,250.0,350.0,840.0
0,1.0,86.5,51.0,44.3,13.2,63.0,365.0,230.0,280.0,810.0
0,1.0,85.8,50.0,43.0,14.8,62.8,365.0,220.0,285.0,810.0
0,1.0,86.7,52.6,44.8,15.0,62.3,380.0,235.0,305.0,840.0
0,3.0,90.6,56.0,41.7,17.0,65.6,380.0,275.0,350.0,855.0
1,4.0,86.0,54.0,42.9,15.4,60.7,365.0,260.0,320.0,820.0
1,3.0,90.0,53.8,43.3,14.0,62.0,360.0,250.0,290.0,815.0
0,3.0,88.4,54.6,43.6,16.3,62.6,360.0,250.0,285.0,805.0
0,3.0,89.5,56.2,43.5,14.5,65.6,405.0,270.0,315.0,920.0
1,3.0,88.2,53.2,43.7,13.6,60.3,385.0,260.0,310.0,865.0
0,2.0,98.5,60.7,46.8,15.0,71.7,415.0,260.0,360.0,930.0
1,2.0,89.6,58.0,43.5,16.0,66.7,380.0,255.0,315.0,875.0
0,6.0,97.7,58.4,46.2,14.4,64.4,350.0,290.0,305.0,845.0
0,3.0,92.6,54.6,44.8,14.5,69.8,385.0,255.0,325.0,850.0
0,3.0,97.8,59.6,48.0,15.0,65.5,380.0,260.0,320.0,890.0
0,2.0,90.7,56.3,46.8,14.5,67.6,370.0,255.0,310.0,850.0
0,3.0,89.2,54.0,44.9,12.8,63.8,380.0,240.0,310.0,820.0
0,7.0,91.8,57.6,45.1,14.4,64.2,355.0,290.0,350.0,840.0
0,4.0,91.6,56.6,45.4,14.9,64.5,375.0,270.0,310.0,885.0
0,4.0,94.8,55.7,47.7,14.0,66.5,380.0,250.0,330.0,830.0
0,3.0,91.0,53.1,46.0,14.5,63.8,380.0,250.0,315.0,860.0
0,5.0,93.2,68.6,44.3,14.5,65.6,350.0,285.0,320.0,840.0
1,3.0,93.3,56.2,43.8,14.0,64.8,385.0,280.0,350.0,865.0
0,1.0,89.5,56.0,46.8,14.8,66.0,365.0,230.0,270.0,815.0
0,1.0,88.6,54.7,48.0,14.0,64.4,390.0,250.0,330.0,825.0
1,6.0,92.4,55.0,45.4,13.0,63.5,380.0,250.0,300.0,890.0
0,4.0,91.5,55.2,45.9,15.4,62.9,365.0,250.0,290.0,825.0
1,3.0,93.6,59.9,46.0,14.8,67.6,400.0,285.0,335.0,890.0
